year,mfr,division,carline,mfrid,index,displ,cyl,trans,citympg,highwaympg,combmpg,aspir,trans2,gears,drivesys,fuel,class,car_truck,fe_rating,ghg_rating,smog_rating
2018,Volkswagen Group of,Audi,TT RS,VGA,26,2.5,5,Auto(AM-S7),19,29,22,TC,AMS,7,A,GP,Subcompact Cars,car,4,4,3
2018,Volkswagen Group of,Audi,TTS Coupe,VGA,23,2,4,Auto(AM-S6),23,27,25,TC,AMS,6,A,GP,Subcompact Cars,car,5,5,3
2018,BMW,BMW,430i Convertible,BMX,404,2,4,Auto(S8),24,34,27,TC,SA,8,R,GP,Subcompact Cars,car,6,6,7
2018,BMW,BMW,430i xDrive Convertible,BMX,406,2,4,Auto(S8),22,32,26,TC,SA,8,A,GP,Subcompact Cars,car,5,5,7
2018,BMW,BMW,440i Convertible,BMX,414,3,6,Auto(S8),21,29,24,TC,SA,8,R,GP,Subcompact Cars,car,5,5,3
2018,BMW,BMW,440i xDrive Convertible,BMX,416,3,6,Auto(S8),20,29,23,TC,SA,8,A,GP,Subcompact Cars,car,5,5,3
2018,BMW,BMW,640i Convertible,BMX,641,3,6,Auto(S8),20,29,23,TC,SA,8,R,GP,Subcompact Cars,car,5,5,3
2018,BMW,BMW,640i xDrive Convertible,BMX,645,3,6,Auto(S8),19,28,22,TC,SA,8,A,GP,Subcompact Cars,car,4,4,3
2018,BMW,BMW,650i Convertible,BMX,654,4.4,8,Auto(S8),17,25,20,TC,SA,8,R,GP,Subcompact Cars,car,4,4,3
2018,BMW,BMW,650i xDrive Convertible,BMX,656,4.4,8,Auto(S8),16,25,19,TC,SA,8,A,GP,Subcompact Cars,car,3,3,3
2018,BMW,BMW,M4 Convertible,BMX,483,3,6,Auto(AM-S7),16,22,19,TC,AMS,7,R,GP,Subcompact Cars,car,3,3,3
2018,BMW,BMW,M4 Convertible,BMX,482,3,6,Manual(M6),17,25,20,TC,M,6,R,GPR,Subcompact Cars,car,4,4,3
2018,BMW,BMW,M6 Convertible,BMX,663,4.4,8,Auto(AM-S7),14,20,16,TC,AMS,7,R,GP,Subcompact Cars,car,2,2,1
2018,BMW,BMW,M6 Convertible,BMX,662,4.4,8,Manual(M6),15,22,17,TC,M,6,R,GP,Subcompact Cars,car,3,3,1
2018,General Motors,Chevrolet,CAMARO,GMX,243,2,4,Auto(S8),22,31,25,TC,SA,8,R,GPR,Subcompact Cars,car,5,5,5
2018,General Motors,Chevrolet,CAMARO,GMX,255,2,4,Manual(M6),20,30,23,TC,M,6,R,GPR,Subcompact Cars,car,5,5,5
2018,General Motors,Chevrolet,CAMARO,GMX,92,3.6,6,Auto(S8),19,29,23,NA,SA,8,R,G,Subcompact Cars,car,5,5,5
2018,General Motors,Chevrolet,CAMARO,GMX,360,3.6,6,Manual(M6),16,28,20,NA,M,6,R,G,Subcompact Cars,car,4,4,5
2018,General Motors,Chevrolet,CAMARO,GMX,158,6.2,8,Auto(S10),13,21,15,SC,SA,10,R,GPR,Subcompact Cars,car,2,2,1
2018,General Motors,Chevrolet,CAMARO,GMX,157,6.2,8,Auto(S8),17,27,20,NA,SA,8,R,GPR,Subcompact Cars,car,4,4,1
2018,General Motors,Chevrolet,CAMARO,GMX,152,6.2,8,Manual(M6),14,20,16,SC,M,6,R,GPR,Subcompact Cars,car,2,2,1
2018,General Motors,Chevrolet,CAMARO,GMX,153,6.2,8,Manual(M6),16,25,19,NA,M,6,R,GPR,Subcompact Cars,car,3,3,1
2018,Toyota,LEXUS,LC 500,TYX,50,5,8,Auto(S10),16,26,19,NA,SA,10,R,GPR,Subcompact Cars,car,3,3,5
2018,Toyota,LEXUS,LC 500h,TYX,19,3.5,6,Auto(AV-S10),26,35,30,NA,SCV,10,R,GPR,Subcompact Cars,car,7,7,7
2018,Maserati,MASERATI,GRANTURISMO,MAX,21,4.7,8,Auto(A6),13,21,16,NA,A,6,R,GPR,Subcompact Cars,car,2,2,4
2018,Maserati,MASERATI,GRANTURISMO CONVERTIBLE,MAX,25,4.7,8,Auto(A6),13,20,15,NA,A,6,R,GPR,Subcompact Cars,car,2,2,4
2018,Mercedes-Benz,Mercedes-Benz,E 400 (coupe),MBX,134,3,6,Auto(A9),20,26,22,TC,A,9,R,GPR,Subcompact Cars,car,4,4,5
2018,Mercedes-Benz,Mercedes-Benz,E 400 4MATIC (coupe),MBX,135,3,6,Auto(A9),20,26,22,TC,A,9,4,GPR,Subcompact Cars,car,4,4,5
2018,Volkswagen Group of,Volkswagen,Beetle Convertible,VGA,43,2,4,Auto(S6),26,33,29,TC,SA,6,F,G,Subcompact Cars,car,6,6,7
2018,Volkswagen Group of,Volkswagen,Beetle Dune Convertible,VGA,41,2,4,Auto(S6),26,34,29,TC,SA,6,F,G,Subcompact Cars,car,6,6,7
2018,Honda,Acura,TLX AWD,HNX,6,3.5,6,Auto(S9),21,30,24,NA,SA,9,A,GP,Compact Cars,car,5,5,3
2018,Honda,Acura,TLX AWD A-SPEC,HNX,7,3.5,6,Auto(S9),20,29,23,NA,SA,9,A,GP,Compact Cars,car,5,5,3
2018,Honda,Acura,TLX FWD,HNX,3,2.4,4,Auto(AM-S8),23,33,27,NA,AMS,8,F,GP,Compact Cars,car,6,6,3
2018,Honda,Acura,TLX FWD,HNX,4,3.5,6,Auto(S9),20,32,24,NA,SA,9,F,GP,Compact Cars,car,5,5,3
2018,Honda,Acura,TLX FWD A-SPEC,HNX,5,3.5,6,Auto(S9),20,30,23,NA,SA,9,F,GP,Compact Cars,car,5,5,3
2018,Volkswagen Group of,Audi,A4 quattro,VGA,6,2,4,Auto(AM-S7),24,34,27,TC,AMS,7,A,GP,Compact Cars,car,6,6,5
2018,Volkswagen Group of,Audi,A4 quattro,VGA,15,2,4,Manual(M6),24,33,27,TC,M,6,A,GP,Compact Cars,car,6,6,3
2018,Volkswagen Group of,Audi,Q3,VGA,22,2,4,Auto(S6),20,28,23,TC,SA,6,F,GP,Compact Cars,car,5,5,3
2018,Volkswagen Group of,Audi,Q3 quattro,VGA,21,2,4,Auto(S6),20,28,23,TC,SA,6,A,GP,Compact Cars,car,5,5,3
2018,Volkswagen Group of,Audi,S4,VGA,7,3,6,Auto(AM-S8),21,30,24,TC,AMS,8,A,GP,Compact Cars,car,5,5,5
2018,BMW,BMW,430i Coupe,BMX,400,2,4,Auto(S8),24,34,27,TC,SA,8,R,GP,Compact Cars,car,6,6,7
2018,BMW,BMW,430i Coupe,BMX,401,2,4,Manual(M6),21,33,25,TC,M,6,R,GP,Compact Cars,car,5,5,7
2018,BMW,BMW,430i Gran Coupe,BMX,408,2,4,Auto(S8),24,34,27,TC,SA,8,R,GP,Compact Cars,car,6,6,7
2018,BMW,BMW,430i xDrive Coupe,BMX,402,2,4,Auto(S8),23,33,27,TC,SA,8,A,GP,Compact Cars,car,6,6,7
2018,BMW,BMW,430i xDrive Gran Coupe,BMX,409,2,4,Auto(S8),23,33,27,TC,SA,8,A,GP,Compact Cars,car,6,6,7
2018,BMW,BMW,440i Coupe,BMX,410,3,6,Auto(S8),21,32,25,TC,SA,8,R,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,440i Gran Coupe,BMX,455,3,6,Auto(S8),21,32,25,TC,SA,8,R,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,440i xDrive Coupe,BMX,412,3,6,Auto(S8),21,31,25,TC,SA,8,A,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,440i xDrive Coupe,BMX,413,3,6,Manual(M6),19,29,23,TC,M,6,A,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,440i xDrive Gran Coupe,BMX,457,3,6,Auto(S8),21,31,25,TC,SA,8,A,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,640i Gran Coupe,BMX,642,3,6,Auto(S8),20,29,23,TC,SA,8,R,GP,Compact Cars,car,5,5,3
2018,BMW,BMW,640i xDrive Gran Coupe,BMX,644,3,6,Auto(S8),19,28,22,TC,SA,8,A,GP,Compact Cars,car,4,4,3
2018,BMW,BMW,650i Gran Coupe,BMX,657,4.4,8,Auto(S8),17,25,20,TC,SA,8,R,GP,Compact Cars,car,4,4,3
2018,BMW,BMW,650i xDrive Gran Coupe,BMX,658,4.4,8,Auto(S8),16,25,19,TC,SA,8,A,GP,Compact Cars,car,3,3,3
2018,BMW,BMW,Alpina B6 xDrive Gran Coupe,BMX,659,4.4,8,Auto(S8),16,25,19,TC,SA,8,A,GP,Compact Cars,car,3,3,3
2018,BMW,BMW,M3,BMX,381,3,6,Auto(AM-S7),17,24,20,TC,AMS,7,R,GP,Compact Cars,car,4,4,3
2018,BMW,BMW,M3,BMX,380,3,6,Manual(M6),17,25,20,TC,M,6,R,GPR,Compact Cars,car,4,4,3
2018,BMW,BMW,M4 Coupe,BMX,481,3,6,Auto(AM-S7),17,24,20,TC,AMS,7,R,GP,Compact Cars,car,4,4,3
2018,BMW,BMW,M4 Coupe,BMX,480,3,6,Manual(M6),17,25,20,TC,M,6,R,GPR,Compact Cars,car,4,4,3
2018,BMW,BMW,M6 Gran Coupe,BMX,665,4.4,8,Auto(AM-S7),14,20,16,TC,AMS,7,R,GP,Compact Cars,car,2,2,1
2018,BMW,BMW,M6 Gran Coupe,BMX,664,4.4,8,Manual(M6),15,22,17,TC,M,6,R,GP,Compact Cars,car,3,3,1
2018,General Motors,Cadillac,ATS AWD,GMX,403,2,4,Auto(S8),22,30,25,TC,SA,8,A,GPR,Compact Cars,car,5,5,5
2018,General Motors,Cadillac,ATS AWD,GMX,66,3.6,6,Auto(S8),19,27,22,NA,SA,8,A,G,Compact Cars,car,4,4,5
2018,General Motors,Cadillac,ATS-V,GMX,396,3.6,6,Auto(S8),17,25,20,TC,SA,8,R,GPR,Compact Cars,car,4,4,3
2018,Nissan,INFINITI,QX30,NSX,171,2,4,Auto(AM7),24,33,27,TC,AM,7,F,GPR,Compact Cars,car,6,6,3
2018,Nissan,INFINITI,QX30 AWD,NSX,173,2,4,Auto(AM7),21,30,25,TC,AM,7,A,GPR,Compact Cars,car,5,5,3
2018,Jaguar Land Rover L,Jaguar,XE,JLX,765,2,4,Auto(S8),32,42,36,TC,SA,8,R,DU,Compact Cars,car,8,7,1
2018,Jaguar Land Rover L,Jaguar,XE,JLX,760,2,4,Auto(S8),25,34,28,TC,SA,8,R,GP,Compact Cars,car,6,6,7
2018,Jaguar Land Rover L,Jaguar,XE,JLX,763,3,6,Auto(S8),21,30,24,SC,SA,8,R,GP,Compact Cars,car,5,5,7
2018,Jaguar Land Rover L,Jaguar,XE AWD,JLX,766,2,4,Auto(S8),30,40,34,TC,SA,8,A,DU,Compact Cars,car,8,7,1
2018,Jaguar Land Rover L,Jaguar,XE AWD,JLX,771,2,4,Auto(S8),24,34,28,TC,SA,8,A,GP,Compact Cars,car,6,6,7
2018,Jaguar Land Rover L,Jaguar,XE AWD,JLX,764,3,6,Auto(S8),20,29,23,SC,SA,8,A,GP,Compact Cars,car,5,5,7
2018,MAZDA,MAZDA,CX-3 2WD,TKX,9,2,4,Auto(S6),29,34,31,NA,SA,6,F,G,Compact Cars,car,7,7,3
2018,MAZDA,MAZDA,CX-3 4WD,TKX,10,2,4,Auto(S6),27,32,29,NA,SA,6,4,G,Compact Cars,car,6,6,3
2018,MAZDA,MAZDA,MAZDA3 4-Door,TKX,4,2,4,Auto(S6),28,37,31,NA,SA,6,F,G,Compact Cars,car,7,7,7
2018,MAZDA,MAZDA,MAZDA3 4-Door,TKX,3,2,4,Manual(M6),28,38,31,NA,M,6,F,G,Compact Cars,car,7,7,7
2018,MAZDA,MAZDA,MAZDA3 4-Door,TKX,7,2.5,4,Auto(S6),27,36,30,NA,SA,6,F,G,Compact Cars,car,7,7,7
2018,Mercedes-Benz,Mercedes-Benz,AMG CLA 45 4MATIC,MBX,210,2,4,Auto(AM7),23,30,26,TC,AM,7,4,GPR,Compact Cars,car,5,5,3
2018,Mercedes-Benz,Mercedes-Benz,CLA 250,MBX,240,2,4,Auto(AM7),24,37,29,TC,AM,7,F,GPR,Compact Cars,car,6,6,5
2018,Mercedes-Benz,Mercedes-Benz,CLA 250 4MATIC,MBX,212,2,4,Auto(AM7),24,32,27,TC,AM,7,P,GPR,Compact Cars,car,6,6,5
2018,Mercedes-Benz,Mercedes-Benz,CLA 250 4MATIC,MBX,36,2,4,Auto(AM7),24,32,27,TC,AM,7,4,GPR,Compact Cars,car,6,6,5
2018,Subaru,Subaru,WRX,FJX,25,2,4,Auto(AV-S8),18,24,21,TC,SCV,8,A,GP,Compact Cars,car,4,4,1
2018,Subaru,Subaru,WRX,FJX,24,2,4,Manual(M6),21,27,23,TC,M,6,A,GP,Compact Cars,car,5,5,1
2018,Subaru,Subaru,WRX,FJX,26,2.5,4,Manual(M6),17,22,19,TC,M,6,A,GPR,Compact Cars,car,3,3,1
2018,Toyota,TOYOTA,C-HR,TYX,7,2,4,Auto(AV-S7),27,31,29,NA,SCV,7,F,G,Compact Cars,car,6,6,3
2018,Toyota,TOYOTA,YARIS,TYX,1,1.5,4,Auto(A4),30,35,32,NA,A,4,F,G,Compact Cars,car,7,7,3
2018,Toyota,TOYOTA,YARIS,TYX,2,1.5,4,Manual(M5),30,36,33,NA,M,5,F,G,Compact Cars,car,8,8,3
2018,Volkswagen Group of,Volkswagen,Beetle,VGA,42,2,4,Auto(S6),26,33,29,TC,SA,6,F,G,Compact Cars,car,6,6,7
2018,Volkswagen Group of,Volkswagen,Beetle Dune,VGA,40,2,4,Auto(S6),26,34,29,TC,SA,6,F,G,Compact Cars,car,6,6,7
2018,Volkswagen Group of,Volkswagen,Golf R,VGA,45,2,4,Auto(AM-S7),22,29,25,TC,AMS,7,A,GP,Compact Cars,car,5,5,3
2018,Volkswagen Group of,Volkswagen,Golf R,VGA,44,2,4,Manual(M6),21,29,24,TC,M,6,A,GP,Compact Cars,car,5,5,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 AWD,VVX,107,2,4,Auto(S8),22,33,26,TC,SA,8,A,G,Compact Cars,car,5,5,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 AWD,VVX,101,2,4,Auto(S8),22,32,26,TS,SA,8,A,GPR,Compact Cars,car,5,5,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 CC AWD,VVX,116,2,4,Auto(S8),22,30,25,TC,SA,8,A,G,Compact Cars,car,5,5,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 FWD,VVX,87,2,4,Auto(S8),25,36,29,TC,SA,8,F,G,Compact Cars,car,6,6,7
2018,Volvo,"Volvo Cars of North America, LLC",S60 Inscription AWD,VVX,106,2,4,Auto(S8),22,33,26,TC,SA,8,A,G,Compact Cars,car,5,5,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 Inscription FWD,VVX,32,2,4,Auto(S8),25,36,29,TC,SA,8,F,G,Compact Cars,car,6,6,3
2018,Volvo,"Volvo Cars of North America, LLC",S60 Polestar AWD,VVX,111,2,4,Auto(S8),20,27,22,TS,SA,8,A,GPR,Compact Cars,car,4,4,1
2018,Volkswagen Group of,Audi,A5 Sportback quattro,VGA,4,2,4,Auto(AM-S7),24,34,27,TC,AMS,7,A,GP,Midsize Cars,car,6,6,5
2018,Volkswagen Group of,Audi,A6,VGA,2,2,4,Auto(AM-S7),25,34,28,TC,AMS,7,F,GP,Midsize Cars,car,6,6,5
2018,Volkswagen Group of,Audi,A6 quattro,VGA,1,2,4,Auto(S8),22,31,26,TC,SA,8,A,GP,Midsize Cars,car,5,5,5
2018,Volkswagen Group of,Audi,A6 quattro,VGA,34,3,6,Auto(S8),20,29,23,SC,SA,8,A,GP,Midsize Cars,car,5,5,3
2018,Volkswagen Group of,Audi,A7 quattro,VGA,35,3,6,Auto(S8),20,29,23,SC,SA,8,A,GP,Midsize Cars,car,5,5,3
